ID,Age,Gender,Education,District,Religion,Income,Employment,knowledge_of_ai,knowledge_of_festival,AI_affect_humanity_before,AI_affect_employment_longterm_before,feeling_of_AI_tech_before,AI_affect_humanity_after,AI_affect_employment_longterm_after,feeling_of_AI_tech_after,altman_ver_question,perception_of_sam_before,disappointment_of_cancelation_before,cancel_reason_perception_before,free_tickets_before,perception_of_sam_after,disappointment_of_cancelation_after,cancel_reason_perception_after,free_tickets_after,reason_for_cancelation_verquestion
01,19,Female,HighSchool,Center,Secular,WayAboveAverage,Employed,4,No,8,3,10,8,3,10,,7,5,5,8,8,5,5,5,LogisticReasons
02,24,Female,BachelorDegree,South,Secular,WayBelowAverage,Employed,1,No,1,1,1,1,1,1,,5,1,1,1,1,1,1,1,BDS
03,25,Female,BachelorDegree,Center,Secular,Average,Unemployed,3,No,8,3,9,9,5,9,Yes,6,5,5,6,6,5,5,5,
04,27,Female,HighSchool,South,Secular,BelowAverage,Employed,3,No,8,5,5,8,5,5,,5,5,5,5,4,4,4,5,BDS
05,25,Female,BachelorDegree,Center,Secular,BelowAverage,Employed,4,No,8,5,8,8,5,8,,5,5,5,5,5,6,5,5,BDS
06,26,Male,BachelorDegree,Center,Secular,AboveAverage,Employed,2,No,3,1,2,2,2,3,,5,5,5,5,5,5,5,5,LogisticReasons
07,52,Female,HighSchool,WestBank,Secular,Average,Employed,1,No,8,8,8,8,8,8,,6,10,5,1,1,5,1,1,BDS
08,23,Male,MastersDegree,Center,Secular,BelowAverage,Employed,4,No,9,5,8,9,6,8,,5,3,4,7,4,4,4,7,BDS
09,22,Male,BachelorDegree,Center,Secular,WayAboveAverage,Employed,3,No,8,5,5,8,5,5,,5,5,5,1,3,8,4,1,BDS
10,21,Male,BachelorDegree,North,Secular,AboveAverage,Employed,3,No,7,5,4,3,6,6,Yes,5,5,4,1,2,2,1,1,
11,24,Female,PracticalEngineer,WestBank,Secular,Average,Employed,2,No,3,1,3,3,3,4,Yes,5,5,5,5,5,5,5,5,
